x,y (H1),EXACT,%Err(H1)
0.116,0.580749184,0.546756529,0.06%
0.117,0.585466626,0.550890863,0.06%
0.118,0.590173998,0.555010414,0.06%
0.119,0.59487117,0.559115063,0.06%
0.12,0.599558014,0.563204691,0.06%
0.121,0.604234401,0.56727918,0.07%
0.122,0.608900201,0.571338413,0.07%
0.123,0.613555288,0.575382271,0.07%
0.124,0.618199532,0.579410636,0.07%
0.125,0.622832805,0.583423392,0.07%
0.126,0.627454979,0.587420422,0.07%
0.127,0.632065927,0.591401608,0.07%
0.128,0.636665521,0.595366835,0.07%
0.129,0.641253632,0.599315986,0.07%
0.13,0.645830134,0.603248946,0.07%
0.131,0.6503949,0.607165598,0.07%
0.132,0.654947802,0.611065827,0.07%
0.133,0.659488714,0.61494952,0.07%
0.134,0.664017508,0.61881656,0.07%
0.135,0.668534059,0.622666834,0.07%
0.136,0.673038239,0.626500227,0.07%
0.137,0.677529923,0.630316626,0.07%
0.138,0.682008986,0.634115918,0.08%
0.139,0.6864753,0.637897989,0.08%
0.14,0.69092874,0.641662726,0.08%
0.141,0.695369182,0.645410018,0.08%
0.142,0.699796499,0.649139751,0.08%
0.143,0.704210567,0.652851815,0.08%
0.144,0.708611262,0.656546097,0.08%
0.145,0.712998457,0.660222487,0.08%
0.146,0.717372031,0.663880874,0.08%
0.147,0.721731857,0.667521147,0.08%
0.148,0.726077812,0.671143196,0.08%
0.149,0.730409773,0.674746912,0.08%
0.15,0.734727616,0.678332185,0.08%
0.151,0.739031218,0.681898906,0.08%
0.152,0.743320456,0.685446967,0.08%
0.153,0.747595207,0.688976259,0.09%
0.154,0.751855349,0.692486674,0.09%
0.155,0.756100759,0.695978105,0.09%
0.156,0.760331316,0.699450445,0.09%
0.157,0.764546897,0.702903586,0.09%
0.158,0.768747382,0.706337422,0.09%
0.159,0.772932648,0.709751848,0.09%
0.16,0.777102576,0.713146757,0.09%
0.161,0.781257044,0.716522044,0.09%
0.162,0.785395933,0.719877604,0.09%
0.163,0.789519121,0.723213333,0.09%
0.164,0.793626489,0.726529127,0.09%
0.165,0.797717917,0.729824882,0.09%
0.166,0.801793287,0.733100495,0.09%
0.167,0.805852478,0.736355862,0.09%
0.168,0.809895373,0.739590881,0.10%
0.169,0.813921853,0.742805451,0.10%
0.17,0.817931799,0.745999469,0.10%
0.171,0.821925094,0.749172835,0.10%
0.172,0.825901621,0.752325447,0.10%
0.173,0.829861262,0.755457205,0.10%
0.174,0.8338039,0.758568008,0.10%
0.175,0.837729418,0.761657759,0.10%
0.176,0.841637701,0.764726357,0.10%
0.177,0.845528632,0.767773703,0.10%
0.178,0.849402096,0.7707997,0.10%
0.179,0.853257977,0.77380425,0.10%
0.18,0.85709616,0.776787255,0.10%
0.181,0.860916531,0.779748618,0.10%
0.182,0.864718976,0.782688243,0.10%
0.183,0.868503379,0.785606034,0.11%
0.184,0.872269629,0.788501895,0.11%
0.185,0.87601761,0.791375732,0.11%
0.186,0.879747211,0.794227449,0.11%
0.187,0.883458319,0.797056952,0.11%
0.188,0.887150822,0.799864149,0.11%
0.189,0.890824607,0.802648944,0.11%
0.19,0.894479563,0.805411247,0.11%
0.191,0.898115579,0.808150964,0.11%
0.192,0.901732544,0.810868003,0.11%
0.193,0.905330348,0.813562274,0.11%
0.194,0.90890888,0.816233685,0.11%
0.195,0.912468032,0.818882147,0.11%
0.196,0.916007693,0.821507568,0.12%
0.197,0.919527755,0.824109861,0.12%
0.198,0.923028109,0.826688935,0.12%
0.199,0.926508647,0.829244703,0.12%
0.2,0.929969261,0.831777077,0.12%
0.201,0.933409844,0.834285969,0.12%
0.202,0.936830289,0.836771292,0.12%
0.203,0.94023049,0.83923296,0.12%
0.204,0.94361034,0.841670888,0.12%
0.205,0.946969733,0.84408499,0.12%
0.206,0.950308565,0.846475181,0.12%
0.207,0.953626729,0.848841376,0.12%
0.208,0.956924123,0.851183492,0.12%
0.209,0.960200641,0.853501446,0.13%
0.21,0.96345618,0.855795155,0.13%
0.211,0.966690637,0.858064537,0.13%
0.212,0.969903909,0.86030951,0.13%
0.213,0.973095894,0.862529993,0.13%
0.214,0.976266489,0.864725906,0.13%
0.215,0.979415594,0.866897167,0.13%
0.216,0.982543106,0.869043699,0.13%
0.217,0.985648926,0.871165421,0.13%
0.218,0.988732954,0.873262255,0.13%
0.219,0.991795089,0.875334125,0.13%
0.22,0.994835232,0.877380951,0.13%
0.221,0.997853285,0.879402658,0.13%
0.222,1.000849149,0.881399169,0.14%
0.223,1.003822727,0.883370409,0.14%
0.224,1.00677392,0.885316302,0.14%
0.225,1.009702633,0.887236774,0.14%
